ID,Suhu,Humid,Hujan,NDVI,Luas Konversi,Kecamatan,Label
D04061,30.1,85,315,0.56,601,Rupit,Sedang
D04062,30.0,87,24,0.57,631,Rupit,Sedang
D04063,30.0,85,96,0.57,623,Rupit,Sedang
D04064,29.5,85,315,0.53,621,Rupit,Sedang
D04065,29.1,88,702,0.58,611,Rupit,Sedang
D04066,28.8,85,366,0.58,598,Rupit,Sedang
D04067,29.9,87,519,0.57,609,Rupit,Sedang
D04068,28.0,89,306,0.56,641,Rupit,Sedang
D04069,28.7,91,333,0.54,562,Rupit,Sedang
D04070,29.1,88,384,0.57,608,Rupit,Sedang
D04071,27.5,90,282,0.59,636,Rupit,Rendah
D04072,29.0,90,138,0.56,631,Rupit,Sedang
D04073,26.5,89,804,0.62,589,Rupit,Rendah
D04074,27.7,87,384,0.53,633,Rupit,Rendah
D04075,28.4,87,123,0.54,589,Rupit,Sedang
D04076,28.6,89,105,0.58,552,Rupit,Sedang
D04077,27.1,89,303,0.61,573,Rupit,Rendah
D04078,28.3,86,297,0.59,618,Rupit,Sedang
D04079,29.1,89,177,0.56,649,Rupit,Sedang
D04080,28.6,88,552,0.6,573,Rupit,Sedang
D04081,28.6,89,306,0.59,613,Rupit,Sedang
D04082,27.7,90,219,0.57,594,Rupit,Rendah
D04083,26.6,89,60,0.61,616,Rupit,Rendah
D04084,26.7,84,39,0.61,569,Rupit,Rendah
D04085,28.7,88,336,0.58,597,Rupit,Sedang
D04086,28.9,91,555,0.58,583,Rupit,Sedang
D04087,29.2,91,459,0.57,536,Rupit,Sedang
D04088,28.1,88,294,0.6,653,Rupit,Sedang
D04089,25.9,87,123,0.62,630,Rupit,Rendah
D04090,29.4,90,168,0.56,592,Rupit,Sedang
D04091,30.2,89,423,0.6,584,Rupit,Sedang
D04092,30.3,88,81,0.59,642,Rupit,Sedang
D04093,28.9,90,411,0.58,610,Rupit,Sedang
D04094,29.6,86,144,0.56,637,Rupit,Sedang
D04095,27.1,86,165,0.62,554,Rupit,Rendah
D04096,28.9,87,141,0.59,537,Rupit,Sedang
D04097,29.6,87,1572,0.53,578,Rupit,Sedang
D04098,28.3,90,1008,0.59,625,Rupit,Sedang
D04099,29.6,91,246,0.6,611,Rupit,Sedang
D04100,26.8,88,144,0.6,578,Rupit,Rendah
D04101,28.3,89,624,0.52,625,Rupit,Sedang
D04102,28.2,90,315,0.6,633,Rupit,Sedang
D04103,30.3,88,189,0.55,598,Rupit,Sedang
D04104,29.3,90,642,0.55,655,Rupit,Sedang
D04105,29.3,90,300,0.52,603,Rupit,Sedang
D04106,30.4,86,0,0.59,586,Rupit,Sedang
D04107,31.0,86,150,0.6,578,Rupit,Sedang
D04108,26.8,89,84,0.6,590,Rupit,Rendah
D04109,30.8,84,30,0.59,624,Rupit,Sedang
D04110,26.5,87,285,0.62,585,Rupit,Rendah
D04111,29.5,88,261,0.58,620,Rupit,Sedang
D04112,29.9,90,255,0.6,599,Rupit,Sedang
D04113,27.0,89,348,0.6,637,Rupit,Rendah
D04114,29.4,87,156,0.6,574,Rupit,Sedang
D04115,29.0,86,81,0.58,610,Rupit,Sedang
D04116,30.5,82,27,0.54,522,Rupit,Sedang
D04117,29.7,87,117,0.54,614,Rupit,Sedang
D04118,30.0,86,66,0.56,629,Rupit,Sedang
D04119,29.1,87,84,0.53,579,Rupit,Sedang
D04120,28.4,87,192,0.59,587,Rupit,Sedang
D04121,30.3,88,150,0.54,594,Rupit,Sedang
D04122,29.7,88,225,0.58,606,Rupit,Sedang
D04123,29.6,90,531,0.57,573,Rupit,Sedang
D04124,28.6,90,588,0.55,586,Rupit,Sedang
D04125,28.6,89,489,0.54,630,Rupit,Sedang
D04126,28.4,88,243,0.57,612,Rupit,Sedang
D04127,28.7,88,501,0.54,604,Rupit,Sedang
D04128,28.8,90,219,0.54,624,Rupit,Sedang
D04129,29.7,90,36,0.57,653,Rupit,Sedang
D04130,29.7,89,186,0.52,597,Rupit,Sedang
D04131,28.6,91,990,0.57,632,Rupit,Sedang
D04132,27.1,88,264,0.62,575,Rupit,Rendah
D04133,28.7,89,180,0.55,660,Rupit,Sedang
D04134,28.8,90,444,0.58,562,Rupit,Sedang
D04135,26.8,91,498,0.61,610,Rupit,Rendah
D04136,28.3,89,171,0.57,572,Rupit,Sedang
D04137,28.2,87,291,0.61,610,Rupit,Sedang
D04138,29.8,89,216,0.54,631,Rupit,Sedang
D04139,30.0,87,87,0.57,609,Rupit,Sedang
D04140,30.2,86,270,0.6,598,Rupit,Sedang
D04141,29.8,86,324,0.56,627,Rupit,Sedang
D04142,27.3,91,327,0.62,620,Rupit,Rendah
D04143,29.3,88,159,0.59,644,Rupit,Sedang
D04144,29.8,84,99,0.57,580,Rupit,Sedang
D04145,30.0,88,78,0.53,648,Rupit,Sedang
D04146,29.6,89,69,0.58,615,Rupit,Sedang
D04147,30.1,87,84,0.55,566,Rupit,Sedang
D04148,30.2,87,93,0.52,625,Rupit,Sedang
D04149,30.5,87,0,0.57,572,Rupit,Sedang
D04150,30.3,91,78,0.58,566,Rupit,Sedang
D04151,30.5,86,63,0.53,610,Rupit,Sedang
D04152,28.7,89,135,0.55,592,Rupit,Sedang
D04153,29.3,89,489,0.6,571,Rupit,Sedang
D04154,29.1,87,72,0.57,609,Rupit,Sedang
D04155,29.7,88,174,0.53,557,Rupit,Sedang
D04156,25.7,89,231,0.62,631,Rupit,Rendah
D04157,29.1,90,369,0.59,643,Rupit,Sedang
D04158,29.9,87,45,0.56,571,Rupit,Sedang
D04159,28.7,83,18,0.58,584,Rupit,Sedang
D04160,29.0,89,252,0.58,593,Rupit,Sedang
D04161,27.4,87,105,0.62,582,Rupit,Rendah
D04162,27.8,91,399,0.56,644,Rupit,Rendah
D04163,27.5,89,276,0.59,581,Rupit,Rendah
D04164,25.1,86,36,0.6,597,Rupit,Rendah
D04165,28.9,85,6,0.54,616,Rupit,Sedang
D04166,26.6,85,24,0.61,543,Rupit,Rendah
D04167,27.5,89,192,0.57,575,Rupit,Rendah
D04168,28.6,88,51,0.53,591,Rupit,Sedang
D04169,29.0,87,90,0.57,591,Rupit,Sedang
D04170,28.2,92,312,0.53,611,Rupit,Sedang
D04171,26.3,89,126,0.61,585,Rupit,Rendah
D04172,29.0,84,189,0.55,627,Rupit,Sedang
D04173,29.1,85,6,0.58,581,Rupit,Sedang
D04174,28.4,87,12,0.52,617,Rupit,Sedang
D04175,29.7,85,18,0.54,596,Rupit,Sedang
D04176,29.5,82,21,0.53,566,Rupit,Sedang
D04177,26.4,83,18,0.61,571,Rupit,Rendah
D04178,29.0,84,480,0.58,604,Rupit,Sedang
D04179,27.4,90,1938,0.58,630,Rupit,Rendah
D04180,28.4,85,24,0.57,549,Rupit,Sedang
D04181,25.7,89,255,0.61,608,Rupit,Rendah
D04182,28.3,85,126,0.57,603,Rupit,Sedang
D04183,29.9,81,0,0.58,565,Rupit,Sedang
D04184,28.9,82,0,0.58,620,Rupit,Sedang
D04185,26.2,82,15,0.62,547,Rupit,Rendah
D04186,30.0,83,36,0.54,607,Rupit,Sedang
D04187,29.8,83,9,0.59,590,Rupit,Sedang
D04188,29.8,82,15,0.56,630,Rupit,Sedang
D04189,30.1,83,114,0.59,629,Rupit,Sedang
D04190,29.3,86,195,0.54,554,Rupit,Sedang
D04191,29.9,87,60,0.57,629,Rupit,Sedang
D04192,27.7,88,93,0.62,663,Rupit,Rendah
D04193,29.7,86,213,0.57,585,Rupit,Sedang
D04194,29.2,87,102,0.53,614,Rupit,Sedang
D04195,28.5,88,303,0.53,615,Rupit,Sedang
D04196,29.5,86,57,0.57,661,Rupit,Sedang
D04197,30.4,80,9,0.53,624,Rupit,Sedang
D04198,30.4,82,93,0.57,595,Rupit,Sedang
D04199,26.2,84,39,0.6,595,Rupit,Rendah
D04200,29.0,85,54,0.59,635,Rupit,Sedang
D04201,27.4,91,363,0.59,616,Rupit,Rendah
D04202,25.9,89,90,0.61,567,Rupit,Rendah
D04203,29.5,83,39,0.56,621,Rupit,Sedang
D04204,29.3,80,48,0.58,573,Rupit,Sedang
D04205,29.4,83,48,0.53,604,Rupit,Sedang
D04206,28.4,86,264,0.54,608,Rupit,Sedang
D04207,27.6,87,45,0.56,595,Rupit,Rendah
D04208,26.6,86,84,0.6,584,Rupit,Rendah
D04209,28.6,87,18,0.57,578,Rupit,Sedang
D04210,26.1,83,15,0.6,600,Rupit,Rendah
D04211,29.2,86,78,0.53,583,Rupit,Sedang
D04212,29.7,85,96,0.52,591,Rupit,Sedang
D04213,30.5,84,93,0.53,598,Rupit,Sedang
D04214,29.5,87,96,0.58,616,Rupit,Sedang
D04215,29.5,84,63,0.52,590,Rupit,Sedang
D04216,29.9,82,81,0.53,555,Rupit,Sedang
D04217,27.5,84,12,0.62,610,Rupit,Rendah
D04218,30.2,81,0,0.58,585,Rupit,Sedang
D04219,27.1,79,30,0.6,616,Rupit,Rendah
D04220,29.8,81,57,0.59,638,Rupit,Sedang
D04221,29.9,83,117,0.57,580,Rupit,Sedang
D04222,29.1,84,78,0.53,587,Rupit,Sedang
D04223,26.1,84,63,0.61,567,Rupit,Rendah
D04224,28.7,88,459,0.53,598,Rupit,Sedang
D04225,27.6,90,945,0.58,648,Rupit,Rendah
D04226,28.4,88,66,0.53,610,Rupit,Sedang
D04227,29.5,88,264,0.53,554,Rupit,Sedang
D04228,29.1,88,219,0.6,564,Rupit,Sedang
D04229,28.6,89,390,0.57,592,Rupit,Sedang
D04230,29.4,88,189,0.54,604,Rupit,Sedang
D04231,28.8,89,513,0.6,569,Rupit,Sedang
D04232,28.7,88,75,0.6,625,Rupit,Sedang
D04233,28.1,89,297,0.53,620,Rupit,Sedang
D04234,26.0,86,42,0.61,623,Rupit,Rendah
D04235,27.2,85,57,0.61,582,Rupit,Rendah
D04236,29.3,84,93,0.6,608,Rupit,Sedang
D04237,30.1,80,24,0.53,641,Rupit,Sedang
D04238,29.0,84,363,0.55,599,Rupit,Sedang
D04239,29.3,88,669,0.54,585,Rupit,Sedang
D04240,28.8,82,279,0.56,580,Rupit,Sedang
D04241,29.1,80,0,0.55,577,Rupit,Sedang
D04242,28.5,86,222,0.6,553,Rupit,Sedang
D04243,28.5,82,15,0.56,577,Rupit,Sedang
D04244,29.6,79,0,0.56,591,Rupit,Sedang
D04245,29.8,81,0,0.59,624,Rupit,Sedang
D04246,29.3,81,6,0.57,564,Rupit,Sedang
D04247,28.5,81,3,0.54,604,Rupit,Sedang
D04248,29.7,77,6,0.58,627,Rupit,Sedang
D04249,28.6,75,3,0.59,639,Rupit,Sedang
D04250,28.2,85,600,0.53,663,Rupit,Sedang
D04251,25.4,88,117,0.61,588,Rupit,Rendah
D04252,26.8,90,141,0.53,602,Rupit,Rendah
D04253,28.8,88,120,0.56,639,Rupit,Sedang
D04254,29.2,88,117,0.59,594,Rupit,Sedang
D04255,27.0,83,96,0.62,616,Rupit,Rendah
D04256,30.1,79,30,0.54,560,Rupit,Sedang
D04257,27.6,80,81,0.6,597,Rupit,Rendah
D04258,29.4,81,111,0.57,605,Rupit,Sedang
D04259,29.3,78,18,0.54,619,Rupit,Sedang
D04260,31.4,78,12,0.54,602,Rupit,Sedang
D04261,30.6,79,27,0.6,580,Rupit,Sedang
D04262,31.3,80,24,0.57,621,Rupit,Sedang
D04263,31.1,82,30,0.53,618,Rupit,Sedang
D04264,27.5,84,135,0.61,611,Rupit,Rendah
D04265,26.9,85,357,0.62,592,Rupit,Rendah
D04266,27.6,82,129,0.61,638,Rupit,Rendah
D04267,29.4,80,18,0.55,587,Rupit,Sedang
D04268,30.8,82,132,0.55,605,Rupit,Sedang
D04269,27.4,87,213,0.6,657,Rupit,Rendah
D04270,29.8,84,240,0.58,582,Rupit,Sedang
D04271,27.5,83,135,0.62,551,Rupit,Rendah
D04272,26.5,87,372,0.62,579,Rupit,Rendah
D04273,28.1,87,420,0.57,592,Rupit,Sedang
D04274,28.9,86,270,0.53,595,Rupit,Sedang
D04275,25.1,88,48,0.62,589,Rupit,Rendah
D04276,27.0,85,3,0.62,579,Rupit,Rendah
D04277,28.7,84,387,0.52,609,Rupit,Sedang
D04278,29.7,84,63,0.59,579,Rupit,Sedang
D04279,28.9,85,54,0.53,629,Rupit,Sedang
D04280,25.6,87,387,0.61,584,Rupit,Rendah
D04281,27.4,84,171,0.62,572,Rupit,Rendah
D04282,29.9,85,321,0.54,538,Rupit,Sedang
D04283,26.7,85,138,0.61,603,Rupit,Rendah
D04284,28.4,87,465,0.58,617,Rupit,Sedang
D04285,29.4,88,699,0.53,637,Rupit,Sedang
D04286,29.6,87,843,0.58,577,Rupit,Sedang
D04287,29.5,86,225,0.58,631,Rupit,Sedang
D04288,30.3,88,450,0.57,607,Rupit,Sedang
D04289,27.7,88,567,0.61,621,Rupit,Rendah
D04290,26.3,88,273,0.61,573,Rupit,Rendah
D04291,29.4,91,807,0.54,590,Rupit,Sedang
D04292,28.9,90,381,0.57,594,Rupit,Sedang
D04293,28.1,89,237,0.57,563,Rupit,Sedang
D04294,26.7,90,834,0.62,626,Rupit,Rendah
D04295,28.2,90,600,0.57,597,Rupit,Sedang
D04296,28.7,88,480,0.58,594,Rupit,Sedang
D04297,29.4,86,123,0.58,596,Rupit,Sedang
D04298,30.2,87,333,0.57,635,Rupit,Sedang
D04299,29.2,89,321,0.56,578,Rupit,Sedang
D04300,30.2,86,525,0.56,598,Rupit,Sedang
D04301,29.1,89,513,0.55,604,Rupit,Sedang
D04302,28.0,88,825,0.54,612,Rupit,Rendah
D04303,29.0,87,372,0.55,600,Rupit,Sedang
D04304,29.8,90,705,0.54,629,Rupit,Sedang
D04305,29.1,87,255,0.54,604,Rupit,Sedang
D04306,28.1,84,21,0.62,581,Rupit,Sedang
D04307,28.9,87,492,0.57,589,Rupit,Sedang
D04308,30.4,83,174,0.58,547,Rupit,Sedang
D04309,30.6,85,6,0.56,595,Rupit,Sedang
D04310,29.7,87,297,0.57,589,Rupit,Sedang
D04311,28.3,91,870,0.57,584,Rupit,Sedang
D04312,25.7,89,468,0.61,622,Rupit,Rendah
D04313,29.8,88,300,0.52,641,Rupit,Sedang
D04314,29.8,86,306,0.54,639,Rupit,Sedang
D04315,29.1,86,318,0.59,621,Rupit,Sedang
D04316,28.8,89,666,0.59,644,Rupit,Sedang
D04317,28.5,88,303,0.59,620,Rupit,Sedang
D04318,28.2,90,177,0.58,580,Rupit,Sedang
D04319,29.9,86,255,0.54,607,Rupit,Sedang
D04320,29.3,90,918,0.58,573,Rupit,Sedang
D04321,28.6,90,276,0.53,609,Rupit,Sedang
D04322,28.5,88,333,0.55,616,Rupit,Sedang
D04323,29.7,89,888,0.59,594,Rupit,Sedang
D04324,29.0,88,741,0.56,630,Rupit,Sedang
D04325,26.0,85,978,0.62,582,Rupit,Rendah
D04326,29.5,89,492,0.59,607,Rupit,Sedang
D04327,25.3,92,831,0.62,595,Rupit,Rendah
D04328,28.5,89,135,0.53,587,Rupit,Sedang
D04329,26.5,88,321,0.61,592,Rupit,Rendah
D04330,28.6,86,309,0.6,596,Rupit,Sedang
D04331,30.0,87,426,0.55,622,Rupit,Sedang
D04332,28.8,88,300,0.55,634,Rupit,Sedang
D04333,29.9,90,696,0.55,587,Rupit,Sedang
D04334,29.8,84,297,0.52,587,Rupit,Sedang
D04335,27.8,89,765,0.61,583,Rupit,Rendah
D04336,27.6,90,276,0.58,628,Rupit,Rendah
D04337,28.9,83,21,0.57,643,Rupit,Sedang
D04338,30.5,86,327,0.58,590,Rupit,Sedang
D04339,29.6,85,99,0.58,565,Rupit,Sedang
D04340,29.2,89,108,0.55,584,Rupit,Sedang
D04341,29.7,86,0,0.57,608,Rupit,Sedang
D04342,28.9,87,180,0.55,568,Rupit,Sedang
D04343,28.7,89,342,0.52,621,Rupit,Sedang
D04344,27.4,90,762,0.57,545,Rupit,Rendah
D04345,25.1,87,414,0.61,630,Rupit,Rendah
D04346,29.4,82,15,0.56,587,Rupit,Sedang
D04347,29.7,78,0,0.54,626,Rupit,Sedang
D04348,29.5,74,3,0.58,599,Rupit,Sedang
D04349,29.3,78,0,0.54,596,Rupit,Sedang
D04350,30.1,77,3,0.55,569,Rupit,Sedang
D04351,30.9,80,15,0.54,604,Rupit,Sedang
D04352,30.1,79,12,0.59,533,Rupit,Sedang
D04353,30.2,84,399,0.6,609,Rupit,Sedang
D04354,29.0,88,438,0.54,596,Rupit,Sedang
D04355,29.3,89,87,0.58,607,Rupit,Sedang
D04356,29.3,83,33,0.54,608,Rupit,Sedang
D04357,28.4,85,216,0.52,606,Rupit,Sedang
D04358,30.2,88,237,0.54,620,Rupit,Sedang
D04359,28.9,88,996,0.59,625,Rupit,Sedang
D04360,28.1,89,519,0.55,641,Rupit,Sedang
D04361,29.7,89,303,0.6,657,Rupit,Sedang
D04362,29.6,89,342,0.55,624,Rupit,Sedang
D04363,25.0,91,528,0.61,672,Rupit,Rendah
D04364,28.3,88,240,0.57,641,Rupit,Sedang
D04365,25.8,87,363,0.6,647,Rupit,Rendah
D04366,28.6,88,456,0.59,573,Rupit,Sedang
D04367,27.5,89,669,0.6,579,Rupit,Rendah
D04368,29.3,86,780,0.56,641,Rupit,Sedang
D04369,29.4,86,219,0.57,657,Rupit,Sedang
D04370,29.3,85,336,0.55,621,Rupit,Sedang
D04371,29.5,84,114,0.58,692,Rupit,Sedang
D04372,29.9,82,57,0.54,642,Rupit,Sedang
D04373,28.9,81,234,0.54,669,Rupit,Sedang
D04374,29.4,86,609,0.53,586,Rupit,Sedang
D04375,28.2,82,126,0.55,635,Rupit,Sedang
D04376,28.1,83,162,0.6,644,Rupit,Sedang
D04377,29.5,85,447,0.52,631,Rupit,Sedang
D04378,28.5,85,150,0.56,591,Rupit,Sedang
D04379,30.6,84,54,0.53,658,Rupit,Sedang
D04380,27.2,84,57,0.62,646,Rupit,Rendah
D04381,29.4,86,180,0.52,596,Rupit,Sedang
D04382,28.4,87,207,0.53,588,Rupit,Sedang
D04383,26.7,89,465,0.62,636,Rupit,Rendah
D04384,29.0,83,51,0.56,576,Rupit,Sedang
D04385,30.1,86,165,0.59,614,Rupit,Sedang
D04386,28.8,89,468,0.57,636,Rupit,Sedang
D04387,28.2,89,942,0.55,618,Rupit,Sedang
D04388,29.1,90,414,0.55,606,Rupit,Sedang
D04389,29.2,88,738,0.55,656,Rupit,Sedang
D04390,27.9,88,528,0.52,566,Rupit,Rendah
D04391,27.8,88,636,0.55,622,Rupit,Rendah
D04392,28.0,91,804,0.58,652,Rupit,Rendah
D04393,29.7,88,411,0.54,682,Rupit,Sedang
D04394,28.9,90,324,0.54,630,Rupit,Sedang
D04395,28.7,90,438,0.58,596,Rupit,Sedang
D04396,28.3,91,342,0.57,617,Rupit,Sedang
D04397,29.2,83,30,0.58,606,Rupit,Sedang
D04398,28.3,88,312,0.57,662,Rupit,Sedang
D04399,25.4,90,615,0.6,665,Rupit,Rendah
D04400,27.9,90,345,0.57,668,Rupit,Rendah
D04401,28.4,90,279,0.58,646,Rupit,Sedang
D04402,28.8,85,63,0.59,587,Rupit,Sedang
D04403,30.4,85,297,0.55,615,Rupit,Sedang
D04404,29.0,85,396,0.54,617,Rupit,Sedang
D04405,25.7,87,630,0.61,671,Rupit,Rendah
D04406,30.1,88,378,0.57,649,Rupit,Sedang
D04407,29.6,90,393,0.56,592,Rupit,Sedang
D04408,27.6,91,378,0.54,658,Rupit,Rendah
D04409,30.3,87,153,0.53,601,Rupit,Sedang
D04410,29.6,89,534,0.53,692,Rupit,Sedang
D04411,28.1,89,207,0.57,637,Rupit,Sedang
D04412,28.6,88,588,0.58,658,Rupit,Sedang
D04413,29.5,89,636,0.59,612,Rupit,Sedang
D04414,28.9,88,279,0.55,631,Rupit,Sedang
D04415,29.2,88,75,0.58,637,Rupit,Sedang
D04416,28.5,89,312,0.56,612,Rupit,Sedang
D04417,28.9,86,174,0.53,656,Rupit,Sedang
D04418,29.9,89,222,0.55,624,Rupit,Sedang
D04419,29.5,85,63,0.55,589,Rupit,Sedang
D04420,30.2,84,66,0.59,660,Rupit,Sedang
D04421,30.6,84,198,0.57,635,Rupit,Sedang
D04422,30.7,84,48,0.54,673,Rupit,Sedang
D04423,30.2,89,732,0.56,586,Rupit,Sedang
D04424,29.1,87,201,0.58,653,Rupit,Sedang
D04425,26.8,83,120,0.62,616,Rupit,Rendah
D04426,26.7,82,108,0.6,648,Rupit,Rendah
D04427,28.1,78,9,0.6,616,Rupit,Sedang
D04428,31.2,77,0,0.57,602,Rupit,Sedang
D04429,29.7,77,24,0.53,651,Rupit,Sedang
D04430,29.6,86,519,0.55,630,Rupit,Sedang
D04431,29.6,84,258,0.54,628,Rupit,Sedang
D04432,28.2,85,375,0.61,612,Rupit,Sedang
D04433,29.7,89,438,0.59,628,Rupit,Sedang
D04434,29.9,86,261,0.59,607,Rupit,Sedang
D04435,27.9,87,213,0.61,604,Rupit,Rendah
D04436,29.3,87,51,0.58,610,Rupit,Sedang
D04437,30.6,90,561,0.52,627,Rupit,Sedang
D04438,29.6,88,900,0.56,597,Rupit,Sedang
D04439,26.8,91,321,0.6,630,Rupit,Rendah
D04440,29.9,89,360,0.52,667,Rupit,Sedang
D04441,30.2,84,141,0.56,622,Rupit,Sedang
D04442,30.2,84,300,0.53,632,Rupit,Sedang
D04443,29.0,88,405,0.54,670,Rupit,Sedang
D04444,29.8,89,132,0.56,639,Rupit,Sedang
D04445,29.7,87,294,0.57,628,Rupit,Sedang
D04446,29.6,83,54,0.53,648,Rupit,Sedang
D04447,28.7,89,228,0.58,652,Rupit,Sedang
D04448,29.0,91,375,0.57,633,Rupit,Sedang
D04449,29.7,90,249,0.53,649,Rupit,Sedang
D04450,29.0,88,420,0.58,652,Rupit,Sedang
D04451,29.0,88,255,0.58,622,Rupit,Sedang
D04452,29.0,88,675,0.6,602,Rupit,Sedang
D04453,26.8,90,564,0.61,661,Rupit,Rendah
D04454,29.1,89,300,0.55,647,Rupit,Sedang
D04455,30.8,88,9,0.58,649,Rupit,Sedang
D04456,31.1,87,345,0.58,627,Rupit,Sedang
D04457,30.1,88,432,0.56,629,Rupit,Sedang
D04458,29.8,88,180,0.54,631,Rupit,Sedang
D04459,28.6,88,744,0.59,632,Rupit,Sedang
D04460,28.3,86,39,0.61,613,Rupit,Sedang
D04461,27.9,89,174,0.6,626,Rupit,Rendah
D04462,29.3,89,252,0.53,620,Rupit,Sedang
D04463,28.9,90,642,0.52,633,Rupit,Sedang
D04464,29.0,89,330,0.57,660,Rupit,Sedang
D04465,29.9,89,312,0.57,622,Rupit,Sedang
D04466,29.5,90,1032,0.52,608,Rupit,Sedang
D04467,28.7,89,285,0.58,641,Rupit,Sedang
D04468,30.0,89,537,0.6,628,Rupit,Sedang
D04469,29.6,89,546,0.52,622,Rupit,Sedang
D04470,29.7,89,6,0.55,621,Rupit,Sedang
D04471,31.3,84,0,0.58,627,Rupit,Sedang
D04472,31.0,84,18,0.58,620,Rupit,Sedang
D04473,30.4,85,102,0.56,637,Rupit,Sedang
D04474,28.8,86,18,0.6,622,Rupit,Sedang
D04475,32.1,84,18,0.54,591,Rupit,Tinggi
D04476,30.4,85,96,0.52,624,Rupit,Sedang
D04477,29.5,88,231,0.57,609,Rupit,Sedang
D04478,29.1,93,459,0.55,649,Rupit,Sedang
D04479,30.6,84,21,0.58,631,Rupit,Sedang
D04480,30.9,84,30,0.6,706,Rupit,Sedang
D04481,27.3,84,39,0.61,666,Rupit,Rendah
D04482,30.5,86,33,0.57,589,Rupit,Sedang
D04483,30.0,82,42,0.53,659,Rupit,Sedang
D04484,31.2,87,165,0.56,598,Rupit,Sedang
D04485,28.8,89,207,0.58,609,Rupit,Sedang
D04486,30.2,90,84,0.53,609,Rupit,Sedang
D04487,26.3,91,375,0.61,607,Rupit,Rendah
D04488,29.2,91,471,0.53,656,Rupit,Sedang
D04489,29.7,90,192,0.6,640,Rupit,Sedang
D04490,28.7,88,144,0.57,605,Rupit,Sedang
D04491,28.0,87,135,0.62,640,Rupit,Rendah
D04492,26.5,87,12,0.61,622,Rupit,Rendah
D04493,28.4,90,357,0.57,638,Rupit,Sedang
D04494,27.2,90,174,0.61,620,Rupit,Rendah
D04495,29.2,88,195,0.59,646,Rupit,Sedang
D04496,30.8,85,27,0.56,603,Rupit,Sedang
D04497,27.9,83,45,0.61,645,Rupit,Rendah
D04498,29.0,87,210,0.53,615,Rupit,Sedang
D04499,29.8,88,63,0.59,606,Rupit,Sedang
D04500,29.8,84,63,0.54,609,Rupit,Sedang
D04501,29.8,88,204,0.59,595,Rupit,Sedang
D04502,29.5,91,468,0.57,659,Rupit,Sedang
D04503,28.8,91,333,0.59,583,Rupit,Sedang
D04504,28.5,90,327,0.53,665,Rupit,Sedang
D04505,28.6,90,300,0.52,624,Rupit,Sedang
D04506,29.7,89,330,0.56,619,Rupit,Sedang
D04507,27.5,90,384,0.62,624,Rupit,Rendah
D04508,27.5,91,375,0.62,613,Rupit,Rendah
D04509,29.1,89,336,0.57,609,Rupit,Sedang
D04510,28.3,91,369,0.56,653,Rupit,Sedang
D04511,29.1,91,93,0.59,606,Rupit,Sedang
D04512,29.4,91,174,0.59,641,Rupit,Sedang
D04513,29.2,88,285,0.57,661,Rupit,Sedang
D04514,30.5,86,60,0.56,587,Rupit,Sedang
D04515,29.1,91,720,0.52,660,Rupit,Sedang
D04516,28.5,93,420,0.59,624,Rupit,Sedang
D04517,29.0,90,237,0.57,618,Rupit,Sedang
D04518,29.8,87,15,0.56,618,Rupit,Sedang
D04519,26.9,93,375,0.6,594,Rupit,Rendah
D04520,29.3,88,69,0.52,631,Rupit,Sedang
D04521,29.7,90,183,0.53,639,Rupit,Sedang
D04522,29.6,90,135,0.53,596,Rupit,Sedang
D04523,26.8,88,39,0.61,619,Rupit,Rendah
D04524,29.1,87,144,0.56,609,Rupit,Sedang
D04525,28.9,90,309,0.58,620,Rupit,Sedang
D04526,29.4,88,30,0.54,605,Rupit,Sedang
D04527,25.4,86,24,0.61,637,Rupit,Rendah
D04528,29.6,85,27,0.53,579,Rupit,Sedang
D04529,30.0,87,36,0.55,595,Rupit,Sedang
D04530,30.6,84,15,0.57,620,Rupit,Sedang
D04531,30.3,86,21,0.56,587,Rupit,Sedang
D04532,30.3,84,24,0.57,658,Rupit,Sedang
D04533,30.5,82,21,0.53,636,Rupit,Sedang
D04534,28.7,88,126,0.56,611,Rupit,Sedang
D04535,29.0,85,24,0.59,585,Rupit,Sedang
D04536,28.8,88,186,0.53,637,Rupit,Sedang
D04537,30.2,90,153,0.58,624,Rupit,Sedang
D04538,28.2,87,231,0.57,657,Rupit,Sedang
D04539,26.9,87,144,0.61,627,Rupit,Rendah
D04540,28.6,88,399,0.56,663,Rupit,Sedang
D04541,29.0,89,681,0.58,625,Rupit,Sedang
D04542,29.2,90,366,0.57,661,Rupit,Sedang
D04543,28.2,87,213,0.52,650,Rupit,Sedang
D04544,27.1,86,87,0.6,659,Rupit,Rendah
D04545,26.1,83,15,0.6,604,Rupit,Rendah
D04546,28.5,83,6,0.56,688,Rupit,Sedang
D04547,29.6,84,42,0.59,589,Rupit,Sedang
D04548,28.9,83,6,0.6,595,Rupit,Sedang
D04549,28.2,84,36,0.56,563,Rupit,Sedang
D04550,29.1,81,42,0.55,591,Rupit,Sedang
D04551,29.3,80,0,0.56,652,Rupit,Sedang
D04552,28.2,78,0,0.55,637,Rupit,Sedang
D04553,29.4,77,0,0.59,619,Rupit,Sedang
D04554,29.8,83,111,0.59,660,Rupit,Sedang
D04555,29.9,88,531,0.53,619,Rupit,Sedang
D04556,28.5,90,768,0.57,583,Rupit,Sedang
D04557,25.8,89,129,0.61,648,Rupit,Rendah
D04558,28.9,81,3,0.55,622,Rupit,Sedang
